ID,Record type,Data owner,Latitude,Longitude,Common name,Scientific name,Total individuals,Year observed
355,Sighting,DPIPWE,-42.1487,145.2606,Unidentified dolphin,Unidentified dolphin,50,1899
356,Sighting,DPIPWE,-42.9345,147.3673,Common dolphin - Short-beaked,Delphinus delphis,15,1899
357,Sighting,DPIPWE,-41.0511,145.917,Bottlenose dolphin - Common,Tursiops truncatus,500,1899
358,Sighting,DPIPWE,-42.588,148.021,Common dolphin - Short-beaked,Delphinus delphis,20,1899
359,Sighting,DPIPWE,-43.1903,147.9675,Bottlenose dolphin - Common,Tursiops truncatus,12,1899
360,Sighting,DPIPWE,-42.1381,148.2952,Bottlenose dolphin - Common,Tursiops truncatus,2,1899
361,Sighting,DPIPWE,-42.5382,148.0023,Unidentified dolphin,Unidentified dolphin,16,1899
362,Sighting,DPIPWE,-42.9579,147.394,Common dolphin - Short-beaked,Delphinus delphis,20,1899
363,Sighting,DPIPWE,-42.8604,147.3267,Bottlenose dolphin - Common,Tursiops truncatus,6,1899
364,Sighting,DPIPWE,-43.0239,147.3809,Common dolphin - Short-beaked,Delphinus delphis,40,1899
